animal_type,breed,sex_upon_intake,sex_upon_outcome,age_upon_intake,age_upon_outcome,intake_type,intake_condition,outcome_type,time_in_shelter_days
Cat,Domestic Shorthair Mix,Unknown,Unknown,2 years,2 years,Stray,Normal,Transfer,0.6159722222222223
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,5 months,5 months,Stray,Normal,Adoption,4.05625
Dog,German Shepherd Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,11.179861111111112
Dog,Rottweiler,Intact Female,Spayed Female,3 years,3 years,Stray,Normal,Adoption,20.029166666666665
Cat,Domestic Shorthair Mix,Unknown,Unknown,3 weeks,4 weeks,Stray,Normal,Transfer,7.930555555555555
Cat,Domestic Medium Hair Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,1.0729166666666667
Dog,Dachshund Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,0.07777777777777778
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,4 months,Stray,Normal,Missing,100.93333333333334
Cat,Domestic Shorthair Mix,Unknown,Unknown,1 year,1 year,Stray,Normal,Transfer,1.8138888888888889
Dog,Pit Bull Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Return to Owner,0.9694444444444444
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,7 years,7 years,Owner Surrender,Normal,Transfer,16.204166666666666
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,5 years,5 years,Stray,Normal,Adoption,10.034027777777778
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,8 years,8 years,Owner Surrender,Normal,Adoption,24.948611111111113
Dog,Miniature Poodle Mix,Spayed Female,Spayed Female,5 years,5 years,Stray,Normal,Return to Owner,0.03680555555555556
Dog,American Bulldog/Pit Bull,Intact Male,Neutered Male,4 years,4 years,Stray,Normal,Transfer,64.14861111111111
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,3 weeks,3 weeks,Stray,Normal,Transfer,0.09097222222222225
Cat,Siamese Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Transfer,3.1
Dog,Chinese Sharpei,Neutered Male,Neutered Male,9 months,10 months,Owner Surrender,Normal,Transfer,2.009027777777778
Dog,Flat Coat Retriever Mix,Neutered Male,Neutered Male,11 months,1 year,Owner Surrender,Normal,Transfer,28.209722222222226
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,9 years,9 years,Stray,Normal,Adoption,43.22708333333333
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,5 months,6 months,Stray,Normal,Transfer,7.513194444444444
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,3 weeks,3 weeks,Stray,Normal,Transfer,0.17569444444444446
Dog,Pit Bull Mix,Spayed Female,Spayed Female,10 years,10 years,Stray,Normal,Return to Owner,0.075
Dog,Pit Bull,Neutered Male,Neutered Male,7 years,7 years,Stray,Normal,Return to Owner,2.9444444444444446
Dog,Shetland Sheepdog/Keeshond,Spayed Female,Spayed Female,11 years,11 years,Public Assist,Normal,Return to Owner,6.064583333333334
Dog,Border Collie Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,4.072222222222222
Dog,Dachshund Wirehair Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,5.129861111111111
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Injured,Adoption,51.03333333333333
Dog,Siberian Husky,Neutered Male,Neutered Male,14 years,14 years,Public Assist,Normal,Return to Owner,1.490277777777778
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,23.951388888888893
Dog,Labrador Retriever Mix,Spayed Female,Spayed Female,4 years,4 years,Stray,Normal,Return to Owner,1.0527777777777778
Dog,Pit Bull Mix,Intact Female,Spayed Female,3 years,3 years,Stray,Normal,Adoption,15.931944444444444
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,3 days,9 months,Stray,Normal,Adoption,298.15972222222223
Dog,Labrador Retriever Mix,Intact Female,Intact Female,2 months,2 months,Stray,Normal,Transfer,6.700694444444444
Dog,Chihuahua Longhair Mix,Intact Female,Spayed Female,4 weeks,2 months,Stray,Normal,Adoption,34.10138888888889
Cat,Domestic Longhair Mix,Intact Female,Intact Female,1 year,1 year,Stray,Injured,Euthanasia,0.11041666666666666
Cat,Domestic Medium Hair Mix,Intact Male,Intact Male,1 month,2 months,Stray,Normal,Transfer,18.09861111111111
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,3 months,3 months,Stray,Normal,Transfer,0.8631944444444445
Dog,Dachshund/Chihuahua Shorthair,Intact Male,Neutered Male,1 month,1 month,Stray,Normal,Adoption,8.434722222222222
Dog,Rhod Ridgeback Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,15.511805555555556
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,3 days,3 days,Stray,Nursing,Transfer,0.09097222222222225
Dog,Australian Cattle Dog Mix,Intact Male,Neutered Male,4 months,5 months,Stray,Normal,Transfer,8.151388888888889
Dog,Pit Bull Mix,Intact Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,4.327083333333333
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,3 years,3 years,Stray,Injured,Return to Owner,0.05694444444444444
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,4 weeks,3 months,Stray,Normal,Adoption,91.06736111111113
Dog,Vizsla Mix,Spayed Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,2.0902777777777777
Dog,Rat Terrier/Chihuahua Shorthair,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,12.087500000000002
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,5.075694444444444
Dog,Rottweiler Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,110.18333333333334
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,4 months,Stray,Normal,Adoption,102.10277777777776
Dog,Jack Russell Terrier Mix,Intact Male,Neutered Male,2 months,2 months,Owner Surrender,Normal,Adoption,2.779166666666667
Dog,Golden Retriever/Great Pyrenees,Spayed Female,Spayed Female,2 years,2 years,Owner Surrender,Normal,Transfer,7.928472222222222
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,10 years,10 years,Owner Surrender,Normal,Adoption,22.95486111111111
